,area,n_soceco,per_x_hog,educ,afil_sisprev,sprev_salud,activ
736,1,2,3,9,1,1,1
737,1,2,2,8,3,2,1
738,1,3,3,0,0,0,0
739,1,3,2,0,1,0,0
740,0,3,3,5,1,0,0
741,1,2,4,5,1,0,1
742,1,1,4,9,1,1,1
743,0,0,4,2,1,0,0
744,1,3,1,5,1,0,0
745,1,3,3,0,0,0,1
746,1,0,5,5,1,0,1
747,1,1,5,9,1,0,1
748,1,2,2,3,1,0,0
749,0,0,6,0,1,1,1
750,1,1,2,1,5,2,1
751,1,3,3,8,1,0,1
752,1,3,4,0,1,0,1
753,1,5,3,5,1,0,0
754,1,3,3,5,0,0,0
755,0,0,3,2,1,0,1
756,1,2,3,4,1,0,0
757,0,1,3,10,1,0,1
758,1,3,3,2,1,0,1
759,1,0,3,2,1,0,1
760,1,3,4,2,1,0,1
761,1,2,3,2,1,0,0
762,1,2,3,8,1,0,1
763,1,2,3,9,1,1,1
764,1,4,2,2,0,0,2
765,1,2,2,9,1,1,0
766,1,2,5,2,1,0,2
767,1,2,3,5,1,0,0
768,0,3,6,8,1,0,1
769,1,4,2,10,1,0,1
770,0,0,6,2,1,0,1
771,1,3,2,6,1,1,1
772,1,4,2,2,0,0,2
773,1,4,2,8,1,0,1
774,1,0,6,2,1,0,1
775,1,2,3,2,1,1,1
776,1,3,2,4,0,0,2
777,1,2,4,9,0,0,1
778,1,0,4,10,0,0,0
779,1,4,2,2,1,0,1
780,1,3,4,2,1,0,1
781,1,3,2,1,1,0,1
782,1,1,4,1,1,0,1
783,1,0,5,9,1,0,1
784,1,0,6,10,1,0,1
785,1,3,4,0,1,0,1
786,1,4,3,9,1,1,1
787,1,2,2,4,0,0,0
788,1,3,4,1,0,0,0
789,1,0,4,10,1,0,1
790,1,2,2,1,1,0,1
791,0,3,5,4,0,0,0
792,0,6,3,6,1,0,1
793,1,4,4,2,1,0,1
794,1,1,2,10,1,0,1
795,1,0,3,10,1,0,0
796,1,3,3,2,0,0,1
797,1,1,5,2,1,0,0
798,1,3,3,7,1,0,1
799,1,4,4,8,1,0,1
800,1,2,3,4,0,0,1
801,0,0,4,5,0,0,0
802,0,0,4,0,1,0,0
803,1,2,3,1,0,1,0
804,1,2,4,10,1,0,2
805,1,2,3,4,0,0,0
806,1,2,5,0,1,0,1
807,1,2,4,4,1,0,1
808,1,4,2,6,0,1,0
809,1,0,2,2,1,0,1
810,1,4,2,2,1,1,1
811,1,2,3,0,0,0,0
812,1,2,3,8,1,0,0
813,0,0,2,5,1,0,0
814,1,4,3,9,1,1,1
815,0,0,4,2,1,0,1
816,1,2,7,1,0,0,0
817,0,3,2,0,1,0,0
818,1,2,4,10,1,0,1
819,1,0,5,8,1,0,1
820,1,2,7,5,1,0,0
821,1,0,6,9,1,1,1
822,0,0,6,2,1,0,1
823,1,0,2,5,0,0,0
824,1,2,3,2,1,0,1
825,1,0,4,2,1,0,1
826,0,3,4,4,1,0,0
827,1,3,5,2,1,0,1
828,1,1,2,8,0,3,1
829,1,2,3,6,0,3,2
830,1,2,3,2,1,0,1
831,1,4,3,2,0,0,1
832,1,5,1,0,0,0,0
833,1,1,2,0,1,0,0
834,0,0,6,0,0,0,0
835,1,5,7,5,1,0,0
836,1,1,4,4,1,0,0
837,1,3,2,0,1,0,0
838,1,2,3,4,1,0,0
839,1,2,2,4,1,3,1
840,1,3,5,5,1,0,0
841,1,0,1,9,1,0,1
842,1,4,3,4,1,0,0
843,1,3,8,2,1,0,1
844,1,2,3,8,1,0,1
845,1,3,5,2,1,0,1
846,1,2,3,2,0,0,1
847,1,4,1,10,1,0,0
848,1,5,4,9,0,1,1
849,1,0,4,1,1,0,1
850,1,2,10,8,1,0,0
851,0,5,3,6,1,0,1
852,1,0,1,5,0,0,1
853,0,3,4,4,1,0,0
854,1,2,4,10,1,0,0
855,1,2,2,5,1,0,0
856,0,0,4,10,1,0,0
857,1,3,2,0,0,0,0
